ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,-0.0485212
0001,Left_Hand,40,LH,PMC,-1.7108214
0001,Left_Hand,40,LH,SMA,0.0710832
0001,Left_Hand,40,LH,insula,-0.253631
0001,Left_Hand,40,RH,Cereb_V_VI,1.019576
0001,Left_Hand,40,RH,PMC,2.7725412
0001,Left_Hand,40,RH,SMA,1.4464966
0001,Left_Hand,40,RH,insula,-1.2761374
0001,Left_Hand,60,LH,Cereb_V_VI,0.338482
0001,Left_Hand,60,LH,PMC,-1.5191054
0001,Left_Hand,60,LH,SMA,0.3847796
0001,Left_Hand,60,LH,insula,0.1514766
0001,Left_Hand,60,RH,Cereb_V_VI,1.4745466
0001,Left_Hand,60,RH,PMC,3.107637
0001,Left_Hand,60,RH,SMA,1.4589856
0001,Left_Hand,60,RH,insula,-1.0890508
0001,Right_Hand,40,LH,Cereb_V_VI,-1.2092752
0001,Right_Hand,40,LH,PMC,1.829282
0001,Right_Hand,40,LH,SMA,1.8911644
0001,Right_Hand,40,LH,insula,0.9098692
0001,Right_Hand,40,RH,Cereb_V_VI,-1.4571388
0001,Right_Hand,40,RH,PMC,-3.1635932
0001,Right_Hand,40,RH,SMA,0.5516904
0001,Right_Hand,40,RH,insula,0.6609356
0001,Right_Hand,60,LH,Cereb_V_VI,-0.8184258
0001,Right_Hand,60,LH,PMC,1.9564978
0001,Right_Hand,60,LH,SMA,1.6246888
0001,Right_Hand,60,LH,insula,1.2963762
0001,Right_Hand,60,RH,Cereb_V_VI,-1.5347646
0001,Right_Hand,60,RH,PMC,-2.9391056
0001,Right_Hand,60,RH,SMA,0.8910896
0001,Right_Hand,60,RH,insula,1.0426082
0002,Left_Hand,40,LH,Cereb_V_VI,0.2526554
0002,Left_Hand,40,LH,PMC,-0.8002584
0002,Left_Hand,40,LH,SMA,-1.0442154
0002,Left_Hand,40,LH,insula,-0.286907
0002,Left_Hand,40,RH,Cereb_V_VI,0.384724
0002,Left_Hand,40,RH,PMC,0.6224586
0002,Left_Hand,40,RH,SMA,-0.1128918
0002,Left_Hand,40,RH,insula,-0.573205
0002,Left_Hand,60,LH,Cereb_V_VI,0.5283438
0002,Left_Hand,60,LH,PMC,-1.002727
0002,Left_Hand,60,LH,SMA,-1.0658172
0002,Left_Hand,60,LH,insula,-0.349662
0002,Left_Hand,60,RH,Cereb_V_VI,0.1680924
0002,Left_Hand,60,RH,PMC,1.2351386
0002,Left_Hand,60,RH,SMA,0.5098228
0002,Left_Hand,60,RH,insula,-0.5427554
0002,Right_Hand,40,LH,Cereb_V_VI,-0.0804878
0002,Right_Hand,40,LH,PMC,2.5175348
0002,Right_Hand,40,LH,SMA,0.2380942
0002,Right_Hand,40,LH,insula,-0.173365
0002,Right_Hand,40,RH,Cereb_V_VI,0.2839468
0002,Right_Hand,40,RH,PMC,-0.3895742
0002,Right_Hand,40,RH,SMA,0.223332
0002,Right_Hand,40,RH,insula,0.4053468
0002,Right_Hand,60,LH,Cereb_V_VI,0.2851346
0002,Right_Hand,60,LH,PMC,2.5722946
0002,Right_Hand,60,LH,SMA,0.0808084
0002,Right_Hand,60,LH,insula,-0.1612256
0002,Right_Hand,60,RH,Cereb_V_VI,-0.1180374
0002,Right_Hand,60,RH,PMC,-0.6715632
0002,Right_Hand,60,RH,SMA,0.1007884
0002,Right_Hand,60,RH,insula,1.1403992
0003,Left_Hand,40,LH,Cereb_V_VI,-0.1135866
0003,Left_Hand,40,LH,PMC,1.0768676
0003,Left_Hand,40,LH,SMA,0.6612576
0003,Left_Hand,40,LH,insula,1.084695
0003,Left_Hand,40,RH,Cereb_V_VI,1.3836844
0003,Left_Hand,40,RH,PMC,3.7671438
0003,Left_Hand,40,RH,SMA,1.9767942
0003,Left_Hand,40,RH,insula,0.1411156
0003,Left_Hand,60,LH,Cereb_V_VI,0.9889972
0003,Left_Hand,60,LH,PMC,2.0763912
0003,Left_Hand,60,LH,SMA,1.4957388
0003,Left_Hand,60,LH,insula,1.2641614
0003,Left_Hand,60,RH,Cereb_V_VI,2.1309792
0003,Left_Hand,60,RH,PMC,4.9313206
0003,Left_Hand,60,RH,SMA,3.211163
0003,Left_Hand,60,RH,insula,0.9544884
0003,Right_Hand,40,LH,Cereb_V_VI,-0.6452066
0003,Right_Hand,40,LH,PMC,2.9896668
0003,Right_Hand,40,LH,SMA,1.012181
0003,Right_Hand,40,LH,insula,1.1573474
0003,Right_Hand,40,RH,Cereb_V_VI,0.3492402
0003,Right_Hand,40,RH,PMC,0.906896
0003,Right_Hand,40,RH,SMA,0.7463934
0003,Right_Hand,40,RH,insula,0.7897942
0003,Right_Hand,60,LH,Cereb_V_VI,-0.4089838
0003,Right_Hand,60,LH,PMC,3.052366
0003,Right_Hand,60,LH,SMA,0.5368306
0003,Right_Hand,60,LH,insula,1.173914
0003,Right_Hand,60,RH,Cereb_V_VI,0.1775702
0003,Right_Hand,60,RH,PMC,0.3103846
0003,Right_Hand,60,RH,SMA,-0.0528674
0003,Right_Hand,60,RH,insula,0.8459918
0004,Left_Hand,40,LH,Cereb_V_VI,0.6082266
0004,Left_Hand,40,LH,PMC,-0.7444878
0004,Left_Hand,40,LH,SMA,0.516533
0004,Left_Hand,40,LH,insula,-0.8937518
0004,Left_Hand,40,RH,Cereb_V_VI,-0.0698984
0004,Left_Hand,40,RH,PMC,3.0987054
0004,Left_Hand,40,RH,SMA,1.1376644
0004,Left_Hand,40,RH,insula,-0.199165
0004,Left_Hand,60,LH,Cereb_V_VI,0.973446
0004,Left_Hand,60,LH,PMC,-1.1789314
0004,Left_Hand,60,LH,SMA,-0.0317622
0004,Left_Hand,60,LH,insula,-1.1082278
0004,Left_Hand,60,RH,Cereb_V_VI,-0.4065916
0004,Left_Hand,60,RH,PMC,3.2599614
0004,Left_Hand,60,RH,SMA,0.5031522
0004,Left_Hand,60,RH,insula,-0.0900522
0004,Right_Hand,40,LH,Cereb_V_VI,0.2976094
0004,Right_Hand,40,LH,PMC,2.8118892
0004,Right_Hand,40,LH,SMA,0.860879
0004,Right_Hand,40,LH,insula,1.1313746
0004,Right_Hand,40,RH,Cereb_V_VI,0.4563616
0004,Right_Hand,40,RH,PMC,-0.5709316
0004,Right_Hand,40,RH,SMA,0.4397338
0004,Right_Hand,40,RH,insula,1.3889858
0004,Right_Hand,60,LH,Cereb_V_VI,0.2793272
0004,Right_Hand,60,LH,PMC,3.1950978
0004,Right_Hand,60,LH,SMA,1.1652976
0004,Right_Hand,60,LH,insula,1.3372798
0004,Right_Hand,60,RH,Cereb_V_VI,0.4896796
0004,Right_Hand,60,RH,PMC,-0.690801
0004,Right_Hand,60,RH,SMA,0.4261762
0004,Right_Hand,60,RH,insula,1.6891902
0005,Left_Hand,40,LH,Cereb_V_VI,0.4371768
0005,Left_Hand,40,LH,PMC,0.4499972
0005,Left_Hand,40,LH,SMA,2.0374218
0005,Left_Hand,40,LH,insula,1.0672124
0005,Left_Hand,40,RH,Cereb_V_VI,3.8406694
0005,Left_Hand,40,RH,PMC,5.160541
0005,Left_Hand,40,RH,SMA,3.0133404
0005,Left_Hand,40,RH,insula,-0.2424102
0005,Left_Hand,60,LH,Cereb_V_VI,1.6891372
0005,Left_Hand,60,LH,PMC,-0.0669174
0005,Left_Hand,60,LH,SMA,2.0628672
0005,Left_Hand,60,LH,insula,1.1134444
0005,Left_Hand,60,RH,Cereb_V_VI,4.5661854
0005,Left_Hand,60,RH,PMC,5.954013
0005,Left_Hand,60,RH,SMA,4.0952302
0005,Left_Hand,60,RH,insula,0.6058838
0005,Right_Hand,40,LH,Cereb_V_VI,-0.760413
0005,Right_Hand,40,LH,PMC,3.6210832
0005,Right_Hand,40,LH,SMA,2.6516884
0005,Right_Hand,40,LH,insula,1.3759794
0005,Right_Hand,40,RH,Cereb_V_VI,2.0831528
0005,Right_Hand,40,RH,PMC,1.9710738
0005,Right_Hand,40,RH,SMA,2.2562038
0005,Right_Hand,40,RH,insula,0.185923
0005,Right_Hand,60,LH,Cereb_V_VI,-0.4927432
0005,Right_Hand,60,LH,PMC,4.0430834
0005,Right_Hand,60,LH,SMA,2.7225198
0005,Right_Hand,60,LH,insula,1.3289104
0005,Right_Hand,60,RH,Cereb_V_VI,1.611339
0005,Right_Hand,60,RH,PMC,0.8586484
0005,Right_Hand,60,RH,SMA,2.2050648
0005,Right_Hand,60,RH,insula,1.004198
0006,Left_Hand,40,LH,Cereb_V_VI,0.7854972
0006,Left_Hand,40,LH,PMC,0.0230514
0006,Left_Hand,40,LH,SMA,-0.2696548
0006,Left_Hand,40,LH,insula,-0.9295336
0006,Left_Hand,40,RH,Cereb_V_VI,0.4099486
0006,Left_Hand,40,RH,PMC,2.6510748
0006,Left_Hand,40,RH,SMA,0.7437368
0006,Left_Hand,40,RH,insula,-0.2586118
0006,Left_Hand,60,LH,Cereb_V_VI,1.942387
0006,Left_Hand,60,LH,PMC,1.2278396
0006,Left_Hand,60,LH,SMA,0.70266
0006,Left_Hand,60,LH,insula,0.5372816
0006,Left_Hand,60,RH,Cereb_V_VI,1.7513716
0006,Left_Hand,60,RH,PMC,4.0567656
0006,Left_Hand,60,RH,SMA,1.5621224
0006,Left_Hand,60,RH,insula,0.9778516
0006,Right_Hand,40,LH,Cereb_V_VI,0.2743544
0006,Right_Hand,40,LH,PMC,2.696682
0006,Right_Hand,40,LH,SMA,1.6976994
0006,Right_Hand,40,LH,insula,0.5295044
0006,Right_Hand,40,RH,Cereb_V_VI,-0.6783398
0006,Right_Hand,40,RH,PMC,-1.0911244
0006,Right_Hand,40,RH,SMA,-0.2617966
0006,Right_Hand,40,RH,insula,1.724541
0006,Right_Hand,60,LH,Cereb_V_VI,0.0938888
0006,Right_Hand,60,LH,PMC,2.565409
