ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,-0.0444066
0001,Left_Hand,40,LH,PMC,-1.5726126
0001,Left_Hand,40,LH,SMA,0.1288972
0001,Left_Hand,40,LH,insula,-0.2356482
0001,Left_Hand,40,RH,Cereb_V_VI,-1.2749374
0001,Left_Hand,40,RH,PMC,2.8028676
0001,Left_Hand,40,RH,SMA,1.5515082
0001,Left_Hand,40,RH,insula,0.9181346
0001,Left_Hand,60,LH,Cereb_V_VI,0.3414068
0001,Left_Hand,60,LH,PMC,-1.4116536
0001,Left_Hand,60,LH,SMA,0.4287168
0001,Left_Hand,60,LH,insula,0.142539
0001,Left_Hand,60,RH,Cereb_V_VI,-1.07018
0001,Left_Hand,60,RH,PMC,3.145104
0001,Left_Hand,60,RH,SMA,1.5274442
0001,Left_Hand,60,RH,insula,1.3890722
0001,Right_Hand,40,LH,Cereb_V_VI,-1.2239808
0001,Right_Hand,40,LH,PMC,1.7592864
0001,Right_Hand,40,LH,SMA,1.9014864
0001,Right_Hand,40,LH,insula,0.9011866
0001,Right_Hand,40,RH,Cereb_V_VI,0.6430782
0001,Right_Hand,40,RH,PMC,-3.2674872
0001,Right_Hand,40,RH,SMA,0.4636952
0001,Right_Hand,40,RH,insula,-1.6072762
0001,Right_Hand,60,LH,Cereb_V_VI,-0.8265808
0001,Right_Hand,60,LH,PMC,1.9071336
0001,Right_Hand,60,LH,SMA,1.6827326
0001,Right_Hand,60,LH,insula,1.2893128
0001,Right_Hand,60,RH,Cereb_V_VI,1.0223954
0001,Right_Hand,60,RH,PMC,-3.0469956
0001,Right_Hand,60,RH,SMA,0.7666462
0001,Right_Hand,60,RH,insula,-1.6376686
0002,Left_Hand,40,LH,Cereb_V_VI,0.274112
0002,Left_Hand,40,LH,PMC,-0.6794868
0002,Left_Hand,40,LH,SMA,-1.0345626
0002,Left_Hand,40,LH,insula,-0.236394
0002,Left_Hand,40,RH,Cereb_V_VI,-0.5676692
0002,Left_Hand,40,RH,PMC,0.6180906
0002,Left_Hand,40,RH,SMA,-0.2146062
0002,Left_Hand,40,RH,insula,0.3630252
0002,Left_Hand,60,LH,Cereb_V_VI,0.5251192
0002,Left_Hand,60,LH,PMC,-0.9107928
0002,Left_Hand,60,LH,SMA,-1.024636
0002,Left_Hand,60,LH,insula,-0.324896
0002,Left_Hand,60,RH,Cereb_V_VI,-0.5213806
0002,Left_Hand,60,RH,PMC,1.244408
0002,Left_Hand,60,RH,SMA,0.5065782
0002,Left_Hand,60,RH,insula,0.1808706
0002,Right_Hand,40,LH,Cereb_V_VI,-0.010033
0002,Right_Hand,40,LH,PMC,2.4094582
0002,Right_Hand,40,LH,SMA,0.2703234
0002,Right_Hand,40,LH,insula,-0.0715444
0002,Right_Hand,40,RH,Cereb_V_VI,0.4550714
0002,Right_Hand,40,RH,PMC,-0.4239772
0002,Right_Hand,40,RH,SMA,0.0722958
0002,Right_Hand,40,RH,insula,0.297345
0002,Right_Hand,60,LH,Cereb_V_VI,0.3528184
0002,Right_Hand,60,LH,PMC,2.4428248
0002,Right_Hand,60,LH,SMA,0.127685
0002,Right_Hand,60,LH,insula,-0.099826
0002,Right_Hand,60,RH,Cereb_V_VI,1.1850958
0002,Right_Hand,60,RH,PMC,-0.7205628
0002,Right_Hand,60,RH,SMA,-0.0169144
0002,Right_Hand,60,RH,insula,-0.1035862
0003,Left_Hand,40,LH,Cereb_V_VI,-0.0352494
0003,Left_Hand,40,LH,PMC,1.2318746
0003,Left_Hand,40,LH,SMA,0.7368112
0003,Left_Hand,40,LH,insula,1.172965
0003,Left_Hand,40,RH,Cereb_V_VI,0.1224066
0003,Left_Hand,40,RH,PMC,3.800702
0003,Left_Hand,40,RH,SMA,2.0422994
0003,Left_Hand,40,RH,insula,1.3477278
0003,Left_Hand,60,LH,Cereb_V_VI,1.0476298
0003,Left_Hand,60,LH,PMC,2.2280486
0003,Left_Hand,60,LH,SMA,1.5876346
0003,Left_Hand,60,LH,insula,1.3534788
0003,Left_Hand,60,RH,Cereb_V_VI,0.9549938
0003,Left_Hand,60,RH,PMC,4.9662204
0003,Left_Hand,60,RH,SMA,3.2720686
0003,Left_Hand,60,RH,insula,2.0977278
0003,Right_Hand,40,LH,Cereb_V_VI,-0.592278
0003,Right_Hand,40,LH,PMC,2.9627308
0003,Right_Hand,40,LH,SMA,1.0512028
0003,Right_Hand,40,LH,insula,1.185414
0003,Right_Hand,40,RH,Cereb_V_VI,0.7750818
0003,Right_Hand,40,RH,PMC,0.8620522
0003,Right_Hand,40,RH,SMA,0.6656048
0003,Right_Hand,40,RH,insula,0.320815
0003,Right_Hand,60,LH,Cereb_V_VI,-0.3755072
0003,Right_Hand,60,LH,PMC,3.0038494
0003,Right_Hand,60,LH,SMA,0.5728484
0003,Right_Hand,60,LH,insula,1.1689868
0003,Right_Hand,60,RH,Cereb_V_VI,0.8444932
0003,Right_Hand,60,RH,PMC,0.2641106
0003,Right_Hand,60,RH,SMA,-0.1698366
0003,Right_Hand,60,RH,insula,0.203593
0004,Left_Hand,40,LH,Cereb_V_VI,0.5664098
0004,Left_Hand,40,LH,PMC,-0.6046936
0004,Left_Hand,40,LH,SMA,0.4329896
0004,Left_Hand,40,LH,insula,-0.7719588
0004,Left_Hand,40,RH,Cereb_V_VI,-0.1905048
0004,Left_Hand,40,RH,PMC,3.0970762
0004,Left_Hand,40,RH,SMA,0.9180734
0004,Left_Hand,40,RH,insula,-0.0705426
0004,Left_Hand,60,LH,Cereb_V_VI,0.9322174
0004,Left_Hand,60,LH,PMC,-1.0593538
