ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,8
0001,Left_Hand,40,LH,PMC,146
0001,Left_Hand,40,LH,SMA,6
0001,Left_Hand,40,LH,insula,3
0001,Left_Hand,40,RH,Cereb_V_VI,15
0001,Left_Hand,40,RH,PMC,186
0001,Left_Hand,40,RH,SMA,41
0001,Left_Hand,40,RH,insula,14
0001,Left_Hand,60,LH,Cereb_V_VI,43
0001,Left_Hand,60,LH,PMC,81
0001,Left_Hand,60,LH,SMA,18
0001,Left_Hand,60,LH,insula,5
0001,Left_Hand,60,RH,Cereb_V_VI,5
0001,Left_Hand,60,RH,PMC,264
0001,Left_Hand,60,RH,SMA,27
0001,Left_Hand,60,RH,insula,23
0001,Right_Hand,40,LH,Cereb_V_VI,7
0001,Right_Hand,40,LH,PMC,179
0001,Right_Hand,40,LH,SMA,73
0001,Right_Hand,40,LH,insula,14
0001,Right_Hand,40,RH,Cereb_V_VI,33
0001,Right_Hand,40,RH,PMC,220
0001,Right_Hand,40,RH,SMA,2
0001,Right_Hand,40,RH,insula,33
0001,Right_Hand,60,LH,Cereb_V_VI,6
0001,Right_Hand,60,LH,PMC,208
0001,Right_Hand,60,LH,SMA,55
0001,Right_Hand,60,LH,insula,16
0001,Right_Hand,60,RH,Cereb_V_VI,71
0001,Right_Hand,60,RH,PMC,295
0001,Right_Hand,60,RH,SMA,9
0001,Right_Hand,60,RH,insula,45
0002,Left_Hand,40,LH,Cereb_V_VI,3
0002,Left_Hand,40,LH,PMC,18
0002,Left_Hand,40,LH,SMA,0
0002,Left_Hand,40,LH,insula,0
0002,Left_Hand,40,RH,Cereb_V_VI,2
0002,Left_Hand,40,RH,PMC,99
0002,Left_Hand,40,RH,SMA,0
0002,Left_Hand,40,RH,insula,0
0002,Left_Hand,60,LH,Cereb_V_VI,31
0002,Left_Hand,60,LH,PMC,112
0002,Left_Hand,60,LH,SMA,18
0002,Left_Hand,60,LH,insula,1
0002,Left_Hand,60,RH,Cereb_V_VI,2
0002,Left_Hand,60,RH,PMC,153
0002,Left_Hand,60,RH,SMA,1
0002,Left_Hand,60,RH,insula,1
0002,Right_Hand,40,LH,Cereb_V_VI,6
0002,Right_Hand,40,LH,PMC,196
0002,Right_Hand,40,LH,SMA,14
0002,Right_Hand,40,LH,insula,0
0002,Right_Hand,40,RH,Cereb_V_VI,19
0002,Right_Hand,40,RH,PMC,99
0002,Right_Hand,40,RH,SMA,2
0002,Right_Hand,40,RH,insula,17
0002,Right_Hand,60,LH,Cereb_V_VI,4
0002,Right_Hand,60,LH,PMC,390
0002,Right_Hand,60,LH,SMA,24
0002,Right_Hand,60,LH,insula,12
0002,Right_Hand,60,RH,Cereb_V_VI,72
0002,Right_Hand,60,RH,PMC,115
0002,Right_Hand,60,RH,SMA,6
0002,Right_Hand,60,RH,insula,12
0003,Left_Hand,40,LH,Cereb_V_VI,13
0003,Left_Hand,40,LH,PMC,74
0003,Left_Hand,40,LH,SMA,0
0003,Left_Hand,40,LH,insula,10
0003,Left_Hand,40,RH,Cereb_V_VI,6
0003,Left_Hand,40,RH,PMC,230
0003,Left_Hand,40,RH,SMA,11
0003,Left_Hand,40,RH,insula,27
0003,Left_Hand,60,LH,Cereb_V_VI,38
0003,Left_Hand,60,LH,PMC,46
0003,Left_Hand,60,LH,SMA,4
0003,Left_Hand,60,LH,insula,6
0003,Left_Hand,60,RH,Cereb_V_VI,12
0003,Left_Hand,60,RH,PMC,187
0003,Left_Hand,60,RH,SMA,23
0003,Left_Hand,60,RH,insula,20
0003,Right_Hand,40,LH,Cereb_V_VI,0
0003,Right_Hand,40,LH,PMC,34
0003,Right_Hand,40,LH,SMA,0
0003,Right_Hand,40,LH,insula,5
0003,Right_Hand,40,RH,Cereb_V_VI,6
0003,Right_Hand,40,RH,PMC,33
0003,Right_Hand,40,RH,SMA,0
0003,Right_Hand,40,RH,insula,1
0003,Right_Hand,60,LH,Cereb_V_VI,1
0003,Right_Hand,60,LH,PMC,100
0003,Right_Hand,60,LH,SMA,1
0003,Right_Hand,60,LH,insula,2
0003,Right_Hand,60,RH,Cereb_V_VI,15
0003,Right_Hand,60,RH,PMC,11
0003,Right_Hand,60,RH,SMA,4
0003,Right_Hand,60,RH,insula,0
0004,Left_Hand,40,LH,Cereb_V_VI,35
0004,Left_Hand,40,LH,PMC,176
0004,Left_Hand,40,LH,SMA,10
0004,Left_Hand,40,LH,insula,38
0004,Left_Hand,40,RH,Cereb_V_VI,4
0004,Left_Hand,40,RH,PMC,311
0004,Left_Hand,40,RH,SMA,24
0004,Left_Hand,40,RH,insula,70
0004,Left_Hand,60,LH,Cereb_V_VI,51
0004,Left_Hand,60,LH,PMC,100
0004,Left_Hand,60,LH,SMA,6
0004,Left_Hand,60,LH,insula,24
0004,Left_Hand,60,RH,Cereb_V_VI,2
0004,Left_Hand,60,RH,PMC,347
0004,Left_Hand,60,RH,SMA,17
0004,Left_Hand,60,RH,insula,50
0004,Right_Hand,40,LH,Cereb_V_VI,3
0004,Right_Hand,40,LH,PMC,385
0004,Right_Hand,40,LH,SMA,25
0004,Right_Hand,40,LH,insula,22
0004,Right_Hand,40,RH,Cereb_V_VI,48
0004,Right_Hand,40,RH,PMC,139
0004,Right_Hand,40,RH,SMA,3
0004,Right_Hand,40,RH,insula,48
0004,Right_Hand,60,LH,Cereb_V_VI,8
0004,Right_Hand,60,LH,PMC,477
0004,Right_Hand,60,LH,SMA,48
0004,Right_Hand,60,LH,insula,30
