ID,Hand,Force,Hemisphere,ROI,value
0001,Left_Hand,40,LH,Cereb_V_VI,14
0001,Left_Hand,40,LH,PMC,242
0001,Left_Hand,40,LH,SMA,7
0001,Left_Hand,40,LH,insula,4
0001,Left_Hand,40,RH,Cereb_V_VI,14
0001,Left_Hand,40,RH,PMC,258
0001,Left_Hand,40,RH,SMA,49
0001,Left_Hand,40,RH,insula,8
0001,Left_Hand,60,LH,Cereb_V_VI,56
0001,Left_Hand,60,LH,PMC,122
0001,Left_Hand,60,LH,SMA,14
0001,Left_Hand,60,LH,insula,5
0001,Left_Hand,60,RH,Cereb_V_VI,6
0001,Left_Hand,60,RH,PMC,333
0001,Left_Hand,60,RH,SMA,35
0001,Left_Hand,60,RH,insula,14
0001,Right_Hand,40,LH,Cereb_V_VI,14
0001,Right_Hand,40,LH,PMC,224
0001,Right_Hand,40,LH,SMA,27
0001,Right_Hand,40,LH,insula,22
0001,Right_Hand,40,RH,Cereb_V_VI,43
0001,Right_Hand,40,RH,PMC,296
0001,Right_Hand,40,RH,SMA,2
0001,Right_Hand,40,RH,insula,70
0001,Right_Hand,60,LH,Cereb_V_VI,15
0001,Right_Hand,60,LH,PMC,249
0001,Right_Hand,60,LH,SMA,38
0001,Right_Hand,60,LH,insula,17
0001,Right_Hand,60,RH,Cereb_V_VI,84
0001,Right_Hand,60,RH,PMC,366
0001,Right_Hand,60,RH,SMA,11
0001,Right_Hand,60,RH,insula,50
0002,Left_Hand,40,LH,Cereb_V_VI,10
0002,Left_Hand,40,LH,PMC,38
0002,Left_Hand,40,LH,SMA,0
0002,Left_Hand,40,LH,insula,4
0002,Left_Hand,40,RH,Cereb_V_VI,0
0002,Left_Hand,40,RH,PMC,138
0002,Left_Hand,40,RH,SMA,1
0002,Left_Hand,40,RH,insula,2
0002,Left_Hand,60,LH,Cereb_V_VI,39
0002,Left_Hand,60,LH,PMC,162
0002,Left_Hand,60,LH,SMA,3
0002,Left_Hand,60,LH,insula,4
0002,Left_Hand,60,RH,Cereb_V_VI,3
0002,Left_Hand,60,RH,PMC,199
0002,Left_Hand,60,RH,SMA,2
0002,Left_Hand,60,RH,insula,22
0002,Right_Hand,40,LH,Cereb_V_VI,7
0002,Right_Hand,40,LH,PMC,277
0002,Right_Hand,40,LH,SMA,6
0002,Right_Hand,40,LH,insula,6
0002,Right_Hand,40,RH,Cereb_V_VI,27
0002,Right_Hand,40,RH,PMC,158
0002,Right_Hand,40,RH,SMA,3
0002,Right_Hand,40,RH,insula,20
0002,Right_Hand,60,LH,Cereb_V_VI,10
0002,Right_Hand,60,LH,PMC,462
0002,Right_Hand,60,LH,SMA,3
0002,Right_Hand,60,LH,insula,13
0002,Right_Hand,60,RH,Cereb_V_VI,74
0002,Right_Hand,60,RH,PMC,170
0002,Right_Hand,60,RH,SMA,5
0002,Right_Hand,60,RH,insula,24
0003,Left_Hand,40,LH,Cereb_V_VI,42
0003,Left_Hand,40,LH,PMC,77
0003,Left_Hand,40,LH,SMA,29
0003,Left_Hand,40,LH,insula,12
0003,Left_Hand,40,RH,Cereb_V_VI,4
0003,Left_Hand,40,RH,PMC,299
0003,Left_Hand,40,RH,SMA,26
0003,Left_Hand,40,RH,insula,0
0003,Left_Hand,60,LH,Cereb_V_VI,69
0003,Left_Hand,60,LH,PMC,55
0003,Left_Hand,60,LH,SMA,25
0003,Left_Hand,60,LH,insula,4
0003,Left_Hand,60,RH,Cereb_V_VI,16
0003,Left_Hand,60,RH,PMC,266
0003,Left_Hand,60,RH,SMA,39
0003,Left_Hand,60,RH,insula,5
0003,Right_Hand,40,LH,Cereb_V_VI,2
0003,Right_Hand,40,LH,PMC,69
0003,Right_Hand,40,LH,SMA,0
0003,Right_Hand,40,LH,insula,6
0003,Right_Hand,40,RH,Cereb_V_VI,11
0003,Right_Hand,40,RH,PMC,61
0003,Right_Hand,40,RH,SMA,0
0003,Right_Hand,40,RH,insula,0
0003,Right_Hand,60,LH,Cereb_V_VI,2
0003,Right_Hand,60,LH,PMC,141
0003,Right_Hand,60,LH,SMA,0
0003,Right_Hand,60,LH,insula,4
0003,Right_Hand,60,RH,Cereb_V_VI,28
0003,Right_Hand,60,RH,PMC,33
0003,Right_Hand,60,RH,SMA,6
0003,Right_Hand,60,RH,insula,0
0004,Left_Hand,40,LH,Cereb_V_VI,41
0004,Left_Hand,40,LH,PMC,222
0004,Left_Hand,40,LH,SMA,60
0004,Left_Hand,40,LH,insula,35
0004,Left_Hand,40,RH,Cereb_V_VI,3
0004,Left_Hand,40,RH,PMC,373
0004,Left_Hand,40,RH,SMA,25
0004,Left_Hand,40,RH,insula,19
0004,Left_Hand,60,LH,Cereb_V_VI,72
0004,Left_Hand,60,LH,PMC,156
0004,Left_Hand,60,LH,SMA,49
0004,Left_Hand,60,LH,insula,22
0004,Left_Hand,60,RH,Cereb_V_VI,3
0004,Left_Hand,60,RH,PMC,415
0004,Left_Hand,60,RH,SMA,21
0004,Left_Hand,60,RH,insula,11
0004,Right_Hand,40,LH,Cereb_V_VI,7
0004,Right_Hand,40,LH,PMC,396
0004,Right_Hand,40,LH,SMA,48
0004,Right_Hand,40,LH,insula,15
0004,Right_Hand,40,RH,Cereb_V_VI,60
0004,Right_Hand,40,RH,PMC,203
0004,Right_Hand,40,RH,SMA,6
0004,Right_Hand,40,RH,insula,23
0004,Right_Hand,60,LH,Cereb_V_VI,7
0004,Right_Hand,60,LH,PMC,472
0004,Right_Hand,60,LH,SMA,45
0004,Right_Hand,60,LH,insula,28
0004,Right_Hand,60,RH,Cereb_V_VI,109
0004,Right_Hand,60,RH,PMC,280
0004,Right_Hand,60,RH,SMA,13
0004,Right_Hand,60,RH,insula,45
0005,Left_Hand,40,LH,Cereb_V_VI,26
0005,Left_Hand,40,LH,PMC,60
0005,Left_Hand,40,LH,SMA,75
0005,Left_Hand,40,LH,insula,21
0005,Left_Hand,40,RH,Cereb_V_VI,7
0005,Left_Hand,40,RH,PMC,507
0005,Left_Hand,40,RH,SMA,74
0005,Left_Hand,40,RH,insula,37
0005,Left_Hand,60,LH,Cereb_V_VI,115
0005,Left_Hand,60,LH,PMC,162
0005,Left_Hand,60,LH,SMA,71
0005,Left_Hand,60,LH,insula,7
0005,Left_Hand,60,RH,Cereb_V_VI,8
0005,Left_Hand,60,RH,PMC,448
0005,Left_Hand,60,RH,SMA,73
0005,Left_Hand,60,RH,insula,7
